t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,19,0,93,3G,1,817.441532,8223.827385,1283
0,19,0,94,3G,1,817.441532,8223.827385,1283
0,19,0,125,3G,1,1515.948274,6738.907236,1046
0,19,0,161,3G,0,476.109648,7704.735387,1201
0,19,0,183,3G,0,1186.918971,7222.134760,1124
0,19,0,209,3G,1,64.156286,7186.655686,1120
0,19,0,218,3G,0,912.113615,7532.681107,1203
0,19,0,259,3G,0,967.489777,7754.321008,1243
0,19,0,265,3G,0,468.847008,7201.115383,1121
0,19,0,291,3G,0,725.641010,7764.599225,1242
0,19,0,581,3G,1,741.908888,6847.932515,1082
0,19,0,608,3G,1,1177.304933,8138.812230,1284
1,19,2,608,3G,1,1177.304933,8138.812230,1284
1,19,2,581,3G,1,741.908888,6847.932515,1082
1,19,2,291,3G,0,725.641010,7764.599225,1242
1,19,2,265,3G,0,468.847008,7201.115383,1121
1,19,2,259,3G,0,967.489777,7754.321008,1243
1,19,2,218,3G,0,912.113615,7532.681107,1203
1,19,2,209,3G,1,64.156286,7186.655686,1120
1,19,2,183,3G,0,1186.918971,7222.134760,1124
1,19,2,161,3G,0,476.109648,7704.735387,1201
1,19,2,125,3G,1,1515.948274,6738.907236,1046
1,19,2,94,3G,1,817.441532,8223.827385,1283
1,19,2,93,3G,1,817.441532,8223.827385,1283
2,19,2,608,3G,1,1177.304933,8138.812230,1284
2,19,2,581,3G,1,741.908888,6847.932515,1082
2,19,2,291,3G,0,725.641010,7764.599225,1242
2,19,2,265,3G,0,468.847008,7201.115383,1121
2,19,2,259,3G,0,967.489777,7754.321008,1243
2,19,2,218,3G,0,912.113615,7532.681107,1203
2,19,2,209,3G,1,64.156286,7186.655686,1120
2,19,2,183,3G,0,1186.918971,7222.134760,1124
2,19,2,161,3G,0,476.109648,7704.735387,1201
2,19,2,125,3G,1,1515.948274,6738.907236,1046
2,19,2,94,3G,1,817.441532,8223.827385,1283
2,19,2,93,3G,1,817.441532,8223.827385,1283
3,19,2,608,3G,1,1177.304933,8138.812230,1284
3,19,2,581,3G,1,741.908888,6847.932515,1082
3,19,2,291,3G,0,725.641010,7764.599225,1242
3,19,2,265,3G,0,468.847008,7201.115383,1121
3,19,2,259,3G,0,967.489777,7754.321008,1243
3,19,2,218,3G,0,912.113615,7532.681107,1203
3,19,2,209,3G,1,64.156286,7186.655686,1120
3,19,2,183,3G,0,1186.918971,7222.134760,1124
3,19,2,161,3G,0,476.109648,7704.735387,1201
3,19,2,125,3G,1,1515.948274,6738.907236,1046
3,19,2,94,3G,1,817.441532,8223.827385,1283
3,19,2,93,3G,1,817.441532,8223.827385,1283
4,19,2,608,3G,1,1177.304933,8138.812230,1284
4,19,2,581,3G,1,741.908888,6847.932515,1082
4,19,2,291,3G,0,725.641010,7764.599225,1242
4,19,2,265,3G,0,468.847008,7201.115383,1121
4,19,2,259,3G,0,967.489777,7754.321008,1243
4,19,2,218,3G,0,912.113615,7532.681107,1203
4,19,2,209,3G,1,64.156286,7186.655686,1120
4,19,2,183,3G,0,1186.918971,7222.134760,1124
4,19,2,161,3G,0,476.109648,7704.735387,1201
4,19,2,125,3G,1,1515.948274,6738.907236,1046
4,19,2,94,3G,1,817.441532,8223.827385,1283
4,19,2,93,3G,1,817.441532,8223.827385,1283
5,19,2,608,3G,1,1177.304933,8138.812230,1284
5,19,2,581,3G,1,741.908888,6847.932515,1082
5,19,2,291,3G,0,725.641010,7764.599225,1242
5,19,2,265,3G,0,468.847008,7201.115383,1121
5,19,2,259,3G,0,967.489777,7754.321008,1243
5,19,2,218,3G,0,912.113615,7532.681107,1203
5,19,2,209,3G,1,64.156286,7186.655686,1120
5,19,2,183,3G,0,1186.918971,7222.134760,1124
5,19,2,161,3G,0,476.109648,7704.735387,1201
5,19,2,125,3G,1,1515.948274,6738.907236,1046
5,19,2,94,3G,1,817.441532,8223.827385,1283
5,19,2,93,3G,1,817.441532,8223.827385,1283
6,19,2,608,3G,1,1177.304933,8138.812230,1284
6,19,2,581,3G,1,741.908888,6847.932515,1082
6,19,2,291,3G,0,725.641010,7764.599225,1242
6,19,2,265,3G,0,468.847008,7201.115383,1121
6,19,2,259,3G,0,967.489777,7754.321008,1243
6,19,2,218,3G,0,912.113615,7532.681107,1203
6,19,2,209,3G,1,64.156286,7186.655686,1120
6,19,2,183,3G,0,1186.918971,7222.134760,1124
6,19,2,161,3G,0,476.109648,7704.735387,1201
6,19,2,125,3G,1,1515.948274,6738.907236,1046
6,19,2,94,3G,1,817.441532,8223.827385,1283
6,19,2,93,3G,1,817.441532,8223.827385,1283
7,19,2,608,3G,1,1177.304933,8138.812230,1284
7,19,2,581,3G,1,741.908888,6847.932515,1082
7,19,2,291,3G,0,725.641010,7764.599225,1242
7,19,2,265,3G,0,468.847008,7201.115383,1121
7,19,2,259,3G,0,967.489777,7754.321008,1243
7,19,2,218,3G,0,912.113615,7532.681107,1203
7,19,2,209,3G,1,64.156286,7186.655686,1120
7,19,2,183,3G,0,1186.918971,7222.134760,1124
7,19,2,161,3G,0,476.109648,7704.735387,1201
7,19,2,125,3G,1,1515.948274,6738.907236,1046
7,19,2,94,3G,1,817.441532,8223.827385,1283
7,19,2,93,3G,1,817.441532,8223.827385,1283
8,19,2,608,3G,1,1177.304933,8138.812230,1284
8,19,2,581,3G,1,741.908888,6847.932515,1082
8,19,2,291,3G,0,725.641010,7764.599225,1242
8,19,2,265,3G,0,468.847008,7201.115383,1121
8,19,2,259,3G,0,967.489777,7754.321008,1243
8,19,2,218,3G,0,912.113615,7532.681107,1203
8,19,2,209,3G,1,64.156286,7186.655686,1120
8,19,2,183,3G,0,1186.918971,7222.134760,1124
8,19,2,161,3G,0,476.109648,7704.735387,1201
8,19,2,125,3G,1,1515.948274,6738.907236,1046
8,19,2,94,3G,1,817.441532,8223.827385,1283
8,19,2,93,3G,1,817.441532,8223.827385,1283
9,19,2,608,3G,1,1177.304933,8138.812230,1284
9,19,2,581,3G,1,741.908888,6847.932515,1082
9,19,2,291,3G,0,725.641010,7764.599225,1242
9,19,2,265,3G,0,468.847008,7201.115383,1121
9,19,2,259,3G,0,967.489777,7754.321008,1243
9,19,2,218,3G,0,912.113615,7532.681107,1203
9,19,2,209,3G,1,64.156286,7186.655686,1120
9,19,2,183,3G,0,1186.918971,7222.134760,1124
9,19,2,161,3G,0,476.109648,7704.735387,1201
9,19,2,125,3G,1,1515.948274,6738.907236,1046
9,19,2,94,3G,1,817.441532,8223.827385,1283
9,19,2,93,3G,1,817.441532,8223.827385,1283
10,19,2,608,3G,1,1177.304933,8138.812230,1284
10,19,2,581,3G,1,741.908888,6847.932515,1082
10,19,2,291,3G,0,725.641010,7764.599225,1242
10,19,2,265,3G,0,468.847008,7201.115383,1121
10,19,2,259,3G,0,967.489777,7754.321008,1243
10,19,2,218,3G,0,912.113615,7532.681107,1203
10,19,2,209,3G,1,64.156286,7186.655686,1120
10,19,2,183,3G,0,1186.918971,7222.134760,1124
10,19,2,161,3G,0,476.109648,7704.735387,1201
10,19,2,125,3G,1,1515.948274,6738.907236,1046
10,19,2,94,3G,1,817.441532,8223.827385,1283
10,19,2,93,3G,1,817.441532,8223.827385,1283
11,19,2,608,3G,1,1177.304933,8138.812230,1284
11,19,2,581,3G,1,741.908888,6847.932515,1082
11,19,2,291,3G,0,725.641010,7764.599225,1242
11,19,2,265,3G,0,468.847008,7201.115383,1121
11,19,2,259,3G,0,967.489777,7754.321008,1243
11,19,2,218,3G,0,912.113615,7532.681107,1203
11,19,2,209,3G,1,64.156286,7186.655686,1120
11,19,2,183,3G,0,1186.918971,7222.134760,1124
11,19,2,161,3G,0,476.109648,7704.735387,1201
11,19,2,125,3G,1,1515.948274,6738.907236,1046
11,19,2,94,3G,1,817.441532,8223.827385,1283
11,19,2,93,3G,1,817.441532,8223.827385,1283
12,19,2,608,3G,1,1177.304933,8138.812230,1284
12,19,2,581,3G,1,741.908888,6847.932515,1082
12,19,2,291,3G,0,725.641010,7764.599225,1242
12,19,2,265,3G,0,468.847008,7201.115383,1121
12,19,2,259,3G,0,967.489777,7754.321008,1243
12,19,2,218,3G,0,912.113615,7532.681107,1203
12,19,2,209,3G,1,64.156286,7186.655686,1120
12,19,2,183,3G,0,1186.918971,7222.134760,1124
12,19,2,161,3G,0,476.109648,7704.735387,1201
12,19,2,125,3G,1,1515.948274,6738.907236,1046
12,19,2,94,3G,1,817.441532,8223.827385,1283
12,19,2,93,3G,1,817.441532,8223.827385,1283
13,19,2,608,3G,1,1177.304933,8138.812230,1284
13,19,2,581,3G,1,741.908888,6847.932515,1082
13,19,2,291,3G,0,725.641010,7764.599225,1242
13,19,2,265,3G,0,468.847008,7201.115383,1121
13,19,2,259,3G,0,967.489777,7754.321008,1243
13,19,2,218,3G,0,912.113615,7532.681107,1203
13,19,2,209,3G,1,64.156286,7186.655686,1120
13,19,2,183,3G,0,1186.918971,7222.134760,1124
13,19,2,161,3G,0,476.109648,7704.735387,1201
13,19,2,125,3G,1,1515.948274,6738.907236,1046
13,19,2,94,3G,1,817.441532,8223.827385,1283
13,19,2,93,3G,1,817.441532,8223.827385,1283
14,19,2,608,3G,1,1177.304933,8138.812230,1284
14,19,2,581,3G,1,741.908888,6847.932515,1082
14,19,2,291,3G,0,725.641010,7764.599225,1242
14,19,2,265,3G,0,468.847008,7201.115383,1121
14,19,2,259,3G,0,967.489777,7754.321008,1243
14,19,2,218,3G,0,912.113615,7532.681107,1203
14,19,2,209,3G,1,64.156286,7186.655686,1120
14,19,2,183,3G,0,1186.918971,7222.134760,1124
