t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
1201,23,0,597,3G,1,450.000000,4300.000000,681
1202,23,2,597,3G,1,450.000000,4400.000000,681
1203,23,2,597,3G,1,500.000000,4450.000000,681
1204,23,2,597,3G,0,500.000000,4550.000000,721
1205,23,2,597,3G,0,500.000000,4650.000000,721
1206,23,2,597,3G,0,550.000000,4700.000000,722
1206,23,0,153,3G,1,800.000000,5582.760024,883
1207,23,2,597,3G,0,600.000000,4750.000000,722
1207,23,2,153,3G,0,800.000000,5482.760024,843
1208,23,2,597,3G,0,650.000000,4800.000000,762
1208,23,2,153,3G,0,817.239976,5400.000000,843
1209,23,2,597,3G,0,650.000000,4900.000000,762
1209,23,0,285,3G,1,1250.000000,5634.470848,884
1209,23,2,153,3G,0,900.000000,5382.760024,843
1210,23,2,597,3G,0,700.000000,4950.000000,762
1210,23,0,581,3G,1,1050.000000,5646.796142,884
1210,23,2,285,3G,1,1250.000000,5534.470848,884
1210,23,2,153,3G,0,900.000000,5282.760024,843
1211,23,2,597,3G,0,700.000000,5050.000000,802
1211,23,2,581,3G,1,1100.000000,5546.796142,884
1211,23,2,285,3G,1,1300.000000,5484.470848,845
1211,23,2,153,3G,0,917.239976,5200.000000,803
1212,23,2,597,3G,0,750.000000,5100.000000,802
1212,23,2,581,3G,0,1100.000000,5396.796142,844
1212,23,2,285,3G,1,1315.529152,5400.000000,845
1212,23,2,153,3G,0,950.000000,5132.760024,803
1213,23,2,597,3G,0,750.000000,5200.000000,802
1213,23,2,581,3G,0,1103.203858,5250.000000,804
1213,23,2,285,3G,1,1350.000000,5334.470848,845
1213,23,2,153,3G,0,967.239976,5050.000000,803
1214,23,2,597,3G,0,750.000000,5300.000000,842
1214,23,2,581,3G,0,1153.203858,5150.000000,804
1214,23,2,285,3G,1,1350.000000,5234.470848,805
1214,23,0,265,3G,1,950.000000,5600.000000,883
1214,23,2,153,3G,0,1000.000000,4982.760024,763
1215,23,2,597,3G,0,800.000000,5350.000000,843
1215,23,2,581,3G,0,1250.000000,5096.796142,804
1215,23,2,285,3G,1,1350.000000,5134.470848,805
1215,23,2,265,3G,1,1050.000000,5550.000000,884
1215,23,2,153,3G,0,1017.239976,4900.000000,764
1216,23,2,597,3G,0,800.000000,5450.000000,843
1216,23,2,581,3G,0,1253.203858,4950.000000,765
1216,23,2,285,3G,1,1365.529152,5050.000000,805
1216,23,2,265,3G,1,1100.000000,5450.000000,844
1216,23,2,153,3G,0,1050.000000,4832.760024,764
1217,23,2,597,3G,0,800.000000,5550.000000,883
1217,23,2,581,3G,1,1300.000000,4846.796142,765
1217,23,2,285,3G,1,1415.529152,5000.000000,765
1217,23,2,265,3G,0,1100.000000,5300.000000,844
1217,23,2,153,3G,0,1100.000000,4782.760024,764
1218,23,1,597,3G,1,800.000000,5650.000000,883
1218,23,2,581,3G,1,1300.000000,4696.796142,725
1218,23,2,285,3G,1,1500.000000,4984.470848,765
1218,23,2,265,3G,0,1150.000000,5200.000000,804
