t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,59,0,508,3G,0,7462.395073,6139.034966,989
0,59,0,574,3G,0,7888.681330,6386.969897,1031
1,59,2,574,3G,0,7888.681330,6386.969897,1031
1,59,2,508,3G,0,7462.395073,6139.034966,989
2,59,2,574,3G,0,7888.681330,6386.969897,1031
2,59,2,508,3G,0,7462.395073,6139.034966,989
3,59,2,574,3G,0,7888.681330,6386.969897,1031
3,59,2,508,3G,0,7462.395073,6139.034966,989
4,59,2,574,3G,0,7888.681330,6386.969897,1031
4,59,2,508,3G,0,7462.395073,6139.034966,989
5,59,2,574,3G,0,7888.681330,6386.969897,1031
5,59,2,508,3G,0,7462.395073,6139.034966,989
6,59,2,574,3G,0,7888.681330,6386.969897,1031
6,59,2,508,3G,0,7462.395073,6139.034966,989
7,59,2,574,3G,0,7888.681330,6386.969897,1031
7,59,2,508,3G,0,7462.395073,6139.034966,989
8,59,2,574,3G,0,7888.681330,6386.969897,1031
8,59,2,508,3G,0,7462.395073,6139.034966,989
9,59,2,574,3G,0,7888.681330,6386.969897,1031
9,59,2,508,3G,0,7462.395073,6139.034966,989
10,59,2,574,3G,0,7888.681330,6386.969897,1031
10,59,2,508,3G,0,7462.395073,6139.034966,989
11,59,2,574,3G,0,7888.681330,6386.969897,1031
11,59,2,508,3G,0,7462.395073,6139.034966,989
12,59,2,574,3G,0,7888.681330,6386.969897,1031
12,59,2,508,3G,0,7462.395073,6139.034966,989
13,59,2,574,3G,0,7888.681330,6386.969897,1031
13,59,2,508,3G,0,7462.395073,6139.034966,989
14,59,2,574,3G,0,7888.681330,6386.969897,1031
14,59,2,508,3G,0,7462.395073,6139.034966,989
15,59,2,574,3G,0,7888.681330,6386.969897,1031
15,59,2,508,3G,0,7462.395073,6139.034966,989
16,59,2,574,3G,0,7888.681330,6386.969897,1031
16,59,2,508,3G,0,7462.395073,6139.034966,989
17,59,2,574,3G,0,7888.681330,6386.969897,1031
17,59,2,508,3G,0,7462.395073,6139.034966,989
18,59,2,574,3G,0,7888.681330,6386.969897,1031
18,59,2,508,3G,0,7462.395073,6139.034966,989
19,59,2,574,3G,0,7888.681330,6386.969897,1031
19,59,2,508,3G,0,7462.395073,6139.034966,989
20,59,2,574,3G,0,7888.681330,6386.969897,1031
20,59,2,508,3G,0,7462.395073,6139.034966,989
21,59,2,574,3G,0,7888.681330,6386.969897,1031
21,59,2,508,3G,0,7462.395073,6139.034966,989
22,59,2,574,3G,0,7888.681330,6386.969897,1031
22,59,2,508,3G,0,7462.395073,6139.034966,989
23,59,2,574,3G,0,7888.681330,6386.969897,1031
23,59,2,508,3G,0,7462.395073,6139.034966,989
24,59,2,574,3G,0,7888.681330,6386.969897,1031
24,59,2,508,3G,0,7462.395073,6139.034966,989
25,59,2,574,3G,0,7888.681330,6386.969897,1031
25,59,2,508,3G,0,7462.395073,6139.034966,989
26,59,2,574,3G,0,7888.681330,6386.969897,1031
26,59,2,508,3G,0,7462.395073,6139.034966,989
27,59,2,574,3G,0,7888.681330,6386.969897,1031
27,59,2,508,3G,0,7462.395073,6139.034966,989
28,59,2,574,3G,0,7888.681330,6386.969897,1031
28,59,2,508,3G,0,7462.395073,6139.034966,989
29,59,2,574,3G,0,7888.681330,6386.969897,1031
29,59,2,508,3G,0,7462.395073,6139.034966,989
30,59,2,574,3G,0,7888.681330,6386.969897,1031
30,59,2,508,3G,0,7462.395073,6139.034966,989
31,59,2,574,3G,0,7888.681330,6386.969897,1031
31,59,2,508,3G,0,7462.395073,6139.034966,989
32,59,2,574,3G,0,7888.681330,6386.969897,1031
32,59,2,508,3G,0,7462.395073,6139.034966,989
33,59,2,574,3G,0,7888.681330,6386.969897,1031
33,59,2,508,3G,0,7462.395073,6139.034966,989
34,59,2,574,3G,0,7888.681330,6386.969897,1031
