t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
1209,40,0,601,3G,0,5198.229151,2450.000000,380
1209,40,0,600,3G,0,5198.229151,2450.000000,380
1210,40,2,601,3G,0,5100.000000,2501.770849,420
1210,40,2,600,3G,0,5100.000000,2501.770849,420
1211,40,2,601,3G,0,5100.000000,2651.770849,420
1211,40,2,600,3G,0,5100.000000,2651.770849,420
1212,40,2,601,3G,0,5000.000000,2701.770849,419
1212,40,2,600,3G,0,5000.000000,2701.770849,419
1213,40,2,601,3G,0,4998.229151,2850.000000,459
1213,40,2,600,3G,0,4998.229151,2850.000000,459
1214,40,2,601,3G,0,4948.229151,2950.000000,459
1214,40,2,600,3G,0,4948.229151,2950.000000,459
1215,40,2,601,3G,0,4900.000000,3051.770849,499
1215,40,2,600,3G,0,4900.000000,3051.770849,499
1216,40,2,601,3G,0,4898.229151,3200.000000,499
1216,40,2,600,3G,0,4898.229151,3200.000000,499
1217,40,1,601,3G,0,4850.000000,3301.770849,539
1217,40,1,600,3G,0,4850.000000,3301.770849,539
1246,40,0,381,3G,1,5700.000000,2800.000000,462
1247,40,2,381,3G,1,5650.000000,2700.000000,422
1247,40,0,88,3G,0,4800.000000,2800.000000,459
1248,40,0,434,3G,1,5650.000000,2800.000000,462
1248,40,2,381,3G,1,5650.000000,2550.000000,422
1248,40,2,88,3G,0,4850.000000,2750.000000,419
1249,40,0,544,3G,0,5650.000000,2900.000000,462
1249,40,0,511,3G,1,5700.000000,2800.000000,462
1249,40,2,434,3G,1,5650.000000,2650.000000,422
1249,40,2,381,3G,1,5500.000000,2550.000000,421
1249,40,0,375,3G,1,5700.000000,2750.000000,422
1249,40,2,88,3G,0,4850.000000,2650.000000,419
1250,40,2,544,3G,0,5600.000000,2800.000000,462
1250,40,0,542,3G,0,5550.000000,2650.000000,422
1250,40,0,541,3G,0,5550.000000,2650.000000,422
1250,40,0,518,3G,1,5650.000000,2800.000000,462
1250,40,1,511,3G,1,5700.000000,2650.000000,422
1250,40,0,485,3G,1,5700.000000,2800.000000,462
1250,40,2,434,3G,0,5500.000000,2650.000000,421
1250,40,2,381,3G,0,5350.000000,2550.000000,421
1250,40,1,375,3G,1,5700.000000,2600.000000,422
1250,40,2,88,3G,0,4900.000000,2600.000000,419
1251,40,2,544,3G,1,5600.000000,2650.000000,422
1251,40,2,542,3G,1,5550.000000,2500.000000,382
1251,40,2,541,3G,1,5550.000000,2500.000000,382
1251,40,2,518,3G,1,5650.000000,2650.000000,422
1251,40,0,511,3G,1,5600.000000,2600.000000,422
1251,40,2,485,3G,1,5650.000000,2700.000000,422
1251,40,2,434,3G,1,5500.000000,2500.000000,381
1251,40,0,397,3G,1,5700.000000,2850.000000,462
1251,40,2,381,3G,0,5300.000000,2450.000000,381
1251,40,0,375,3G,1,5600.000000,2550.000000,422
1251,40,0,346,3G,1,5700.000000,2800.000000,462
1251,40,2,88,3G,0,4950.000000,2550.000000,419
1252,40,2,544,3G,1,5600.000000,2500.000000,382
1252,40,2,542,3G,1,5500.000000,2400.000000,381
1252,40,2,541,3G,1,5500.000000,2400.000000,381
1252,40,2,518,3G,1,5550.000000,2600.000000,422
1252,40,2,511,3G,1,5550.000000,2500.000000,382
1252,40,2,485,3G,1,5650.000000,2550.000000,422
1252,40,2,434,3G,1,5400.000000,2450.000000,381
1252,40,2,397,3G,1,5650.000000,2750.000000,422
1252,40,1,381,3G,1,5300.000000,2300.000000,381
1252,40,2,375,3G,1,5550.000000,2450.000000,382
1252,40,2,346,3G,1,5650.000000,2700.000000,422
1252,40,2,88,3G,0,5000.000000,2500.000000,379
1253,40,2,544,3G,1,5450.000000,2500.000000,381
1253,40,2,542,3G,1,5400.000000,2350.000000,381
1253,40,2,541,3G,1,5400.000000,2350.000000,381
1253,40,2,518,3G,0,5450.000000,2550.000000,421
1253,40,2,511,3G,1,5450.000000,2450.000000,381
1253,40,2,485,3G,1,5500.000000,2550.000000,421
1253,40,1,434,3G,1,5400.000000,2300.000000,381
1253,40,2,397,3G,1,5600.000000,2650.000000,422
1253,40,2,375,3G,1,5450.000000,2400.000000,381
1253,40,2,346,3G,1,5650.000000,2550.000000,422
1253,40,1,88,3G,1,5000.000000,2400.000000,379
1254,40,2,544,3G,1,5450.000000,2350.000000,381
1254,40,1,542,3G,1,5300.000000,2300.000000,381
1254,40,1,541,3G,1,5300.000000,2300.000000,381
1254,40,2,518,3G,1,5400.000000,2450.000000,381
1254,40,2,511,3G,1,5450.000000,2300.000000,381
1254,40,2,485,3G,0,5400.000000,2500.000000,381
1254,40,2,397,3G,1,5550.000000,2550.000000,422
1254,40,2,375,3G,1,5300.000000,2400.000000,381
1254,40,2,346,3G,1,5600.000000,2450.000000,382
1254,40,0,250,3G,0,4965.506592,3350.000000,539
1255,40,1,544,3G,1,5350.000000,2300.000000,381
1255,40,2,518,3G,1,5350.000000,2350.000000,381
1255,40,1,511,3G,1,5300.000000,2300.000000,381
1255,40,2,485,3G,1,5350.000000,2400.000000,381
1255,40,2,397,3G,1,5450.000000,2500.000000,381
1255,40,1,375,3G,1,5250.000000,2300.000000,380
1255,40,2,346,3G,1,5500.000000,2400.000000,381
1255,40,2,250,3G,0,5000.000000,3284.493408,539
1256,40,1,518,3G,1,5250.000000,2300.000000,380
1256,40,1,485,3G,1,5350.000000,2250.000000,341
1256,40,0,422,3G,1,5750.000000,2800.000000,462
1256,40,0,402,3G,1,5650.000000,2700.000000,422
1256,40,0,401,3G,1,5650.000000,2700.000000,422
1256,40,2,397,3G,1,5350.000000,2450.000000,381
1256,40,2,346,3G,1,5400.000000,2350.000000,381
1256,40,2,250,3G,0,4950.000000,3234.493408,499
1257,40,0,514,3G,1,5744.577064,2800.000000,462
1257,40,2,422,3G,1,5700.000000,2700.000000,422
1257,40,2,402,3G,1,5650.000000,2600.000000,422
1257,40,2,401,3G,1,5650.000000,2600.000000,422
1257,40,2,397,3G,1,5300.000000,2350.000000,381
1257,40,0,350,3G,1,5650.000000,2700.000000,422
1257,40,1,346,3G,1,5250.000000,2350.000000,380
1257,40,2,250,3G,0,4950.000000,3134.493408,499
1258,40,2,514,3G,1,5694.577064,2750.000000,422
1258,40,0,481,3G,0,5550.000000,2650.000000,422
1258,40,1,422,3G,1,5700.000000,2550.000000,422
1258,40,2,402,3G,1,5550.000000,2600.000000,422
1258,40,2,401,3G,1,5550.000000,2600.000000,422
1258,40,1,397,3G,1,5300.000000,2200.000000,341
1258,40,2,350,3G,1,5600.000000,2600.000000,422
1258,40,2,250,3G,0,4950.000000,3034.493408,499
1259,40,2,514,3G,1,5650.000000,2694.577064,422
1259,40,2,481,3G,1,5500.000000,2550.000000,421
1259,40,2,402,3G,1,5550.000000,2500.000000,382
1259,40,2,401,3G,1,5550.000000,2500.000000,382
1259,40,2,350,3G,1,5600.000000,2450.000000,382
1259,40,2,250,3G,0,5000.000000,2984.493408,459
1260,40,0,567,3G,1,5684.309068,2750.000000,422
1260,40,2,514,3G,1,5650.000000,2594.577064,422
1260,40,2,481,3G,1,5450.000000,2450.000000,381
1260,40,0,422,3G,1,5500.000000,2450.000000,381
1260,40,2,402,3G,1,5450.000000,2500.000000,381
1260,40,2,401,3G,1,5450.000000,2500.000000,381
1260,40,2,350,3G,1,5450.000000,2450.000000,381
1260,40,2,250,3G,0,5000.000000,2884.493408,459
1261,40,2,567,3G,1,5634.309068,2700.000000,422
1261,40,1,514,3G,1,5644.577064,2500.000000,382
1261,40,2,481,3G,1,5400.000000,2350.000000,381
1261,40,2,422,3G,1,5400.000000,2400.000000,381
1261,40,2,402,3G,1,5450.000000,2400.000000,381
1261,40,2,401,3G,1,5450.000000,2400.000000,381
1261,40,0,385,3G,1,5600.000000,2700.000000,422
1261,40,0,372,3G,1,5681.349563,2700.000000,422
1261,40,2,350,3G,1,5400.000000,2350.000000,381
1261,40,2,250,3G,0,5000.000000,2784.493408,459
1262,40,2,567,3G,0,5534.309068,2700.000000,422
1262,40,0,548,3G,1,5689.409974,2750.000000,422
1262,40,0,514,3G,1,5544.577064,2500.000000,382
1262,40,1,481,3G,1,5300.000000,2300.000000,381
1262,40,1,422,3G,1,5350.000000,2300.000000,381
1262,40,2,402,3G,1,5350.000000,2400.000000,381
1262,40,2,401,3G,1,5350.000000,2400.000000,381
1262,40,2,385,3G,1,5550.000000,2600.000000,422
1262,40,2,372,3G,1,5650.000000,2631.349563,422
1262,40,1,350,3G,1,5300.000000,2300.000000,381
1262,40,2,250,3G,0,5000.000000,2684.493408,419
1263,40,2,567,3G,0,5500.000000,2634.309068,421
1263,40,0,556,3G,1,5689.452474,2750.000000,422
1263,40,2,548,3G,1,5650.000000,2689.409974,422
1263,40,2,514,3G,1,5444.577064,2500.000000,381
1263,40,2,402,3G,1,5300.000000,2350.000000,381
1263,40,2,401,3G,1,5300.000000,2350.000000,381
1263,40,2,385,3G,1,5550.000000,2450.000000,382
1263,40,2,372,3G,1,5631.349563,2550.000000,422
1263,40,2,250,3G,0,5000.000000,2584.493408,419
1264,40,2,567,3G,0,5434.309068,2600.000000,421
1264,40,2,556,3G,1,5639.452474,2700.000000,422
1264,40,2,548,3G,1,5600.000000,2639.409974,422
1264,40,2,514,3G,0,5350.000000,2494.577064,381
1264,40,0,461,3G,1,5678.647698,2800.000000,462
1264,40,1,402,3G,1,5300.000000,2250.000000,341
1264,40,1,401,3G,1,5300.000000,2250.000000,341
