t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,70,0,453,3G,0,8915.866697,6488.618253,1035
0,70,0,469,3G,0,8670.861278,6227.619411,994
0,70,0,475,3G,0,8697.594592,6296.358492,1034
1,70,2,475,3G,0,8700.000000,6300.000000,1034
1,70,2,469,3G,0,8670.861278,6227.619411,994
1,70,2,453,3G,0,8900.000000,6500.000000,1035
2,70,2,475,3G,0,8700.000000,6304.993336,1034
2,70,2,469,3G,0,8670.861278,6227.619411,994
2,70,2,453,3G,0,8900.000000,6478.545241,1035
3,70,2,475,3G,0,8700.000000,6309.986673,1034
3,70,2,469,3G,0,8670.861278,6227.619411,994
3,70,2,453,3G,0,8900.000000,6450.000000,1035
4,70,2,475,3G,0,8700.000000,6314.980009,1034
4,70,2,469,3G,0,8670.861278,6227.619411,994
4,70,2,453,3G,0,8900.000000,6428.545241,1035
5,70,2,475,3G,0,8700.000000,6319.973345,1034
5,70,2,469,3G,0,8670.861278,6227.619411,994
5,70,2,453,3G,0,8900.000000,6400.000000,1035
6,70,2,475,3G,0,8700.000000,6324.966681,1034
6,70,2,469,3G,0,8670.861278,6227.619411,994
6,70,2,453,3G,0,8900.000000,6421.454759,1035
7,70,2,475,3G,0,8700.000000,6329.960018,1034
7,70,2,469,3G,0,8670.861278,6227.619411,994
7,70,2,453,3G,0,8900.000000,6450.000000,1035
8,70,2,475,3G,0,8700.000000,6334.953354,1034
8,70,2,469,3G,0,8670.861278,6227.619411,994
8,70,2,453,3G,0,8878.545241,6450.000000,1035
9,70,2,475,3G,0,8700.000000,6339.946690,1034
9,70,2,469,3G,0,8670.861278,6227.619411,994
9,70,2,453,3G,0,8850.000000,6450.000000,1035
10,70,2,475,3G,0,8700.000000,6344.940027,1034
10,70,2,469,3G,0,8670.861278,6227.619411,994
10,70,2,453,3G,0,8871.454759,6450.000000,1035
11,70,2,475,3G,0,8700.000000,6350.000000,1034
11,70,2,469,3G,0,8670.861278,6227.619411,994
11,70,2,453,3G,0,8900.000000,6450.000000,1035
12,70,2,475,3G,0,8700.000000,6354.993336,1034
12,70,2,469,3G,0,8670.861278,6227.619411,994
12,70,2,453,3G,0,8921.454759,6450.000000,1035
13,70,2,475,3G,0,8700.000000,6359.986673,1034
13,70,2,469,3G,0,8670.861278,6227.619411,994
13,70,2,453,3G,0,8950.000000,6450.000000,1035
14,70,0,539,3G,1,9300.000000,6800.000000,1117
14,70,2,475,3G,0,8700.000000,6359.986673,1034
14,70,2,469,3G,0,8670.861278,6227.619411,994
14,70,2,453,3G,0,8928.545241,6450.000000,1035
15,70,2,539,3G,1,9250.000000,6800.000000,1116
15,70,2,475,3G,0,8700.000000,6359.986673,1034
15,70,2,469,3G,0,8670.861278,6227.619411,994
15,70,2,453,3G,0,8900.000000,6450.000000,1035
16,70,1,539,3G,1,9250.000000,6850.000000,1116
16,70,2,475,3G,0,8700.000000,6359.986673,1034
16,70,2,469,3G,0,8670.861278,6227.619411,994
16,70,2,453,3G,0,8900.000000,6471.454759,1035
17,70,2,475,3G,0,8700.000000,6359.986673,1034
17,70,2,469,3G,0,8670.861278,6227.619411,994
17,70,2,453,3G,0,8900.000000,6500.000000,1035
18,70,2,475,3G,0,8700.000000,6359.986673,1034
18,70,2,469,3G,0,8670.861278,6227.619411,994
18,70,2,453,3G,0,8900.000000,6478.545241,1035
19,70,0,539,3G,1,9250.000000,6800.000000,1116
19,70,2,475,3G,0,8700.000000,6359.986673,1034
19,70,2,469,3G,0,8670.861278,6227.619411,994
19,70,2,453,3G,0,8900.000000,6478.545241,1035
20,70,2,539,3G,1,9250.000000,6800.000000,1116
20,70,2,475,3G,0,8700.000000,6359.986673,1034
20,70,2,469,3G,0,8670.861278,6227.619411,994
20,70,2,453,3G,0,8900.000000,6478.545241,1035
21,70,2,539,3G,1,9250.000000,6800.000000,1116
21,70,2,475,3G,0,8700.000000,6359.986673,1034
21,70,2,469,3G,0,8670.861278,6227.619411,994
21,70,2,453,3G,0,8900.000000,6478.545241,1035
22,70,2,539,3G,1,9250.000000,6800.000000,1116
22,70,2,475,3G,0,8700.000000,6359.986673,1034
22,70,2,469,3G,0,8670.861278,6227.619411,994
22,70,2,453,3G,0,8900.000000,6478.545241,1035
23,70,2,539,3G,1,9250.000000,6800.000000,1116
23,70,2,475,3G,0,8700.000000,6359.986673,1034
23,70,2,469,3G,0,8670.861278,6227.619411,994
23,70,2,453,3G,0,8900.000000,6478.545241,1035
24,70,2,539,3G,1,9250.000000,6800.000000,1116
24,70,2,475,3G,0,8700.000000,6359.986673,1034
24,70,2,469,3G,0,8670.861278,6227.619411,994
24,70,2,453,3G,0,8900.000000,6478.545241,1035
25,70,2,539,3G,1,9250.000000,6800.000000,1116
25,70,2,475,3G,0,8700.000000,6359.986673,1034
25,70,2,469,3G,0,8670.861278,6227.619411,994
25,70,2,453,3G,0,8900.000000,6478.545241,1035
26,70,2,539,3G,1,9250.000000,6800.000000,1116
26,70,2,475,3G,0,8700.000000,6359.986673,1034
26,70,2,469,3G,0,8670.861278,6227.619411,994
26,70,2,453,3G,0,8900.000000,6478.545241,1035
27,70,2,539,3G,1,9250.000000,6800.000000,1116
27,70,2,475,3G,0,8700.000000,6359.986673,1034
27,70,2,469,3G,0,8670.861278,6227.619411,994
27,70,2,453,3G,0,8900.000000,6478.545241,1035
28,70,2,539,3G,1,9250.000000,6800.000000,1116
28,70,2,475,3G,0,8700.000000,6359.986673,1034
28,70,2,469,3G,0,8670.861278,6227.619411,994
28,70,2,453,3G,0,8900.000000,6478.545241,1035
29,70,2,539,3G,1,9250.000000,6800.000000,1116
29,70,2,475,3G,0,8700.000000,6359.986673,1034
29,70,2,469,3G,0,8670.861278,6227.619411,994
29,70,2,453,3G,0,8900.000000,6478.545241,1035
30,70,2,539,3G,1,9250.000000,6800.000000,1116
30,70,2,475,3G,0,8700.000000,6359.986673,1034
30,70,2,469,3G,0,8670.861278,6227.619411,994
30,70,2,453,3G,0,8900.000000,6478.545241,1035
31,70,2,539,3G,1,9250.000000,6800.000000,1116
31,70,2,475,3G,0,8700.000000,6359.986673,1034
31,70,2,469,3G,0,8670.861278,6227.619411,994
31,70,2,453,3G,0,8900.000000,6478.545241,1035
32,70,2,539,3G,1,9250.000000,6800.000000,1116
32,70,2,475,3G,0,8700.000000,6359.986673,1034
32,70,2,469,3G,0,8670.861278,6227.619411,994
32,70,2,453,3G,0,8900.000000,6478.545241,1035
33,70,2,539,3G,1,9250.000000,6800.000000,1116
33,70,2,475,3G,0,8700.000000,6359.986673,1034
33,70,2,469,3G,0,8670.861278,6227.619411,994
33,70,2,453,3G,0,8900.000000,6478.545241,1035
34,70,2,539,3G,1,9250.000000,6800.000000,1116
34,70,2,475,3G,0,8700.000000,6359.986673,1034
34,70,2,469,3G,0,8670.861278,6227.619411,994
34,70,2,453,3G,0,8900.000000,6478.545241,1035
35,70,2,539,3G,1,9250.000000,6800.000000,1116
35,70,2,475,3G,0,8700.000000,6359.986673,1034
35,70,2,469,3G,0,8670.861278,6227.619411,994
35,70,2,453,3G,0,8900.000000,6478.545241,1035
36,70,2,539,3G,1,9250.000000,6800.000000,1116
36,70,2,475,3G,0,8700.000000,6359.986673,1034
36,70,2,469,3G,0,8670.861278,6227.619411,994
36,70,2,453,3G,0,8900.000000,6478.545241,1035
37,70,2,539,3G,1,9250.000000,6800.000000,1116
37,70,2,475,3G,0,8700.000000,6364.980009,1034
37,70,2,469,3G,0,8670.861278,6227.619411,994
37,70,2,453,3G,0,8900.000000,6478.545241,1035
38,70,2,539,3G,1,9250.000000,6800.000000,1116
38,70,2,475,3G,0,8700.000000,6369.973345,1034
38,70,2,469,3G,0,8670.861278,6227.619411,994
38,70,2,453,3G,0,8900.000000,6478.545241,1035
39,70,2,539,3G,1,9250.000000,6800.000000,1116
39,70,2,475,3G,0,8700.000000,6374.966681,1034
39,70,2,469,3G,0,8670.861278,6227.619411,994
