t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
1210,64,0,402,3G,0,7950.000000,5000.000000,791
1210,64,0,401,3G,0,7950.000000,5000.000000,791
1211,64,2,402,3G,0,7900.000000,4950.000000,791
1211,64,2,401,3G,0,7900.000000,4950.000000,791
1212,64,2,402,3G,0,7850.000000,4900.000000,791
1212,64,2,401,3G,0,7850.000000,4900.000000,791
1213,64,2,402,3G,0,7800.000000,4850.000000,791
1213,64,2,401,3G,0,7800.000000,4850.000000,791
1214,64,2,402,3G,0,7800.000000,4750.000000,751
1214,64,2,401,3G,0,7800.000000,4750.000000,751
1215,64,2,402,3G,0,7700.000000,4750.000000,750
1215,64,2,401,3G,0,7700.000000,4750.000000,750
1216,64,2,402,3G,0,7700.000000,4650.000000,750
1216,64,2,401,3G,0,7700.000000,4650.000000,750
1216,64,0,372,3G,0,7981.349563,4900.000000,791
1217,64,2,402,3G,0,7650.000000,4600.000000,750
1217,64,2,401,3G,0,7650.000000,4600.000000,750
1217,64,2,372,3G,0,7881.349563,4900.000000,791
1218,64,0,556,3G,0,7700.000000,5239.452474,830
1218,64,2,402,3G,0,7550.000000,4600.000000,750
1218,64,2,401,3G,0,7550.000000,4600.000000,750
1218,64,2,372,3G,0,7850.000000,4831.349563,791
1219,64,2,556,3G,0,7689.452474,5150.000000,830
1219,64,2,402,3G,0,7500.000000,4550.000000,749
1219,64,2,401,3G,0,7500.000000,4550.000000,749
1219,64,2,372,3G,0,7781.349563,4800.000000,791
1220,64,2,556,3G,0,7650.000000,5089.452474,830
1220,64,0,469,3G,0,7950.000000,4939.973638,791
1220,64,2,402,3G,0,7500.000000,4450.000000,709
1220,64,2,401,3G,0,7500.000000,4450.000000,709
1220,64,2,372,3G,0,7750.000000,4731.349563,750
1221,64,2,556,3G,0,7600.000000,5039.452474,830
1221,64,0,498,3G,0,7950.000000,4988.523825,791
1221,64,2,469,3G,0,7889.973638,4900.000000,791
1221,64,1,402,3G,0,7400.000000,4450.000000,709
1221,64,1,401,3G,0,7400.000000,4450.000000,709
1221,64,2,372,3G,0,7681.349563,4700.000000,750
1222,64,2,556,3G,0,7550.000000,4989.452474,790
1222,64,2,498,3G,0,7950.000000,4888.523825,791
1222,64,2,469,3G,0,7800.000000,4889.973638,791
1222,64,2,372,3G,0,7650.000000,4631.349563,750
1222,64,0,346,3G,0,7950.000000,4900.000000,791
1223,64,2,556,3G,0,7550.000000,4889.452474,790
1223,64,0,544,3G,0,7400.000000,5050.000000,829
1223,64,2,498,3G,0,7888.523825,4850.000000,791
1223,64,2,469,3G,0,7800.000000,4789.973638,791
1223,64,2,372,3G,0,7581.349563,4600.000000,750
1223,64,2,346,3G,0,7800.000000,4900.000000,791
1224,64,2,556,3G,0,7489.452474,4850.000000,789
