t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,31,0,411,3G,1,6940.559733,7107.238720,1147
0,31,0,516,3G,0,6471.845574,6920.284893,1105
1,31,2,516,3G,0,6471.845574,6920.284893,1105
1,31,2,411,3G,1,6940.559733,7107.238720,1147
2,31,2,516,3G,0,6471.845574,6920.284893,1105
2,31,2,411,3G,1,6940.559733,7107.238720,1147
3,31,2,516,3G,0,6471.845574,6920.284893,1105
3,31,2,411,3G,1,6940.559733,7107.238720,1147
4,31,2,516,3G,0,6471.845574,6920.284893,1105
4,31,2,411,3G,1,6940.559733,7107.238720,1147
5,31,2,516,3G,0,6471.845574,6920.284893,1105
5,31,2,411,3G,1,6940.559733,7107.238720,1147
6,31,2,516,3G,0,6471.845574,6920.284893,1105
6,31,2,411,3G,1,6940.559733,7107.238720,1147
7,31,2,516,3G,0,6471.845574,6920.284893,1105
7,31,2,411,3G,1,6940.559733,7107.238720,1147
8,31,2,516,3G,0,6471.845574,6920.284893,1105
8,31,2,411,3G,1,6940.559733,7107.238720,1147
9,31,2,516,3G,0,6471.845574,6920.284893,1105
9,31,2,411,3G,1,6940.559733,7107.238720,1147
10,31,2,516,3G,0,6471.845574,6920.284893,1105
10,31,2,411,3G,1,6940.559733,7107.238720,1147
11,31,2,516,3G,0,6471.845574,6920.284893,1105
11,31,2,411,3G,1,6940.559733,7107.238720,1147
12,31,2,516,3G,0,6471.845574,6920.284893,1105
12,31,2,411,3G,1,6940.559733,7107.238720,1147
13,31,2,516,3G,0,6471.845574,6920.284893,1105
13,31,2,411,3G,1,6940.559733,7107.238720,1147
14,31,2,516,3G,0,6471.845574,6920.284893,1105
14,31,2,411,3G,1,6940.559733,7107.238720,1147
15,31,2,516,3G,0,6471.845574,6920.284893,1105
15,31,2,411,3G,1,6940.559733,7107.238720,1147
16,31,2,516,3G,0,6471.845574,6920.284893,1105
16,31,2,411,3G,1,6940.559733,7107.238720,1147
17,31,2,516,3G,0,6471.845574,6920.284893,1105
17,31,2,411,3G,1,6940.559733,7107.238720,1147
18,31,2,516,3G,0,6471.845574,6920.284893,1105
18,31,2,411,3G,1,6940.559733,7107.238720,1147
19,31,2,516,3G,0,6471.845574,6920.284893,1105
19,31,2,411,3G,1,6940.559733,7107.238720,1147
20,31,2,516,3G,0,6471.845574,6920.284893,1105
20,31,2,411,3G,1,6940.559733,7107.238720,1147
21,31,2,516,3G,0,6471.845574,6920.284893,1105
21,31,2,411,3G,1,6940.559733,7107.238720,1147
22,31,2,516,3G,0,6471.845574,6920.284893,1105
22,31,2,411,3G,1,6940.559733,7107.238720,1147
23,31,2,516,3G,0,6471.845574,6920.284893,1105
23,31,2,411,3G,1,6940.559733,7107.238720,1147
24,31,2,516,3G,0,6471.845574,6920.284893,1105
24,31,2,411,3G,1,6940.559733,7107.238720,1147
25,31,2,516,3G,0,6471.845574,6920.284893,1105
25,31,2,411,3G,1,6940.559733,7107.238720,1147
26,31,2,516,3G,0,6471.845574,6920.284893,1105
26,31,2,411,3G,1,6940.559733,7107.238720,1147
27,31,2,516,3G,0,6471.845574,6920.284893,1105
27,31,2,411,3G,1,6940.559733,7107.238720,1147
28,31,2,516,3G,0,6471.845574,6920.284893,1105
28,31,2,411,3G,1,6940.559733,7107.238720,1147
29,31,2,516,3G,0,6471.845574,6920.284893,1105
29,31,2,411,3G,1,6940.559733,7107.238720,1147
30,31,2,516,3G,0,6471.845574,6920.284893,1105
30,31,2,411,3G,1,6940.559733,7107.238720,1147
31,31,2,516,3G,0,6471.845574,6920.284893,1105
31,31,2,411,3G,1,6940.559733,7107.238720,1147
32,31,2,516,3G,0,6471.845574,6920.284893,1105
32,31,2,411,3G,1,6940.559733,7107.238720,1147
33,31,2,516,3G,0,6471.845574,6920.284893,1105
33,31,2,411,3G,1,6940.559733,7107.238720,1147
34,31,2,516,3G,0,6471.845574,6920.284893,1105
34,31,2,411,3G,1,6940.559733,7107.238720,1147
35,31,2,516,3G,0,6471.845574,6920.284893,1105
35,31,2,411,3G,1,6940.559733,7107.238720,1147
36,31,2,516,3G,0,6471.845574,6920.284893,1105
36,31,2,411,3G,1,6940.559733,7107.238720,1147
37,31,2,516,3G,0,6471.845574,6920.284893,1105
37,31,2,411,3G,1,6940.559733,7107.238720,1147
38,31,2,516,3G,0,6471.845574,6920.284893,1105
38,31,2,411,3G,1,6940.559733,7107.238720,1147
39,31,2,516,3G,0,6471.845574,6920.284893,1105
39,31,2,411,3G,1,6940.559733,7107.238720,1147
40,31,2,516,3G,0,6471.845574,6920.284893,1105
40,31,2,411,3G,1,6940.559733,7107.238720,1147
41,31,2,516,3G,0,6471.845574,6920.284893,1105
41,31,2,411,3G,1,6940.559733,7107.238720,1147
42,31,2,516,3G,0,6471.845574,6920.284893,1105
42,31,2,411,3G,1,6940.559733,7107.238720,1147
43,31,2,516,3G,0,6471.845574,6920.284893,1105
43,31,2,411,3G,1,6940.559733,7107.238720,1147
44,31,2,516,3G,0,6471.845574,6920.284893,1105
44,31,2,411,3G,1,6940.559733,7107.238720,1147
45,31,2,516,3G,0,6471.845574,6920.284893,1105
45,31,2,411,3G,1,6940.559733,7107.238720,1147
46,31,2,516,3G,0,6471.845574,6920.284893,1105
46,31,2,411,3G,1,6940.559733,7107.238720,1147
47,31,2,516,3G,0,6471.845574,6920.284893,1105
47,31,2,411,3G,1,6940.559733,7107.238720,1147
48,31,2,516,3G,0,6471.845574,6920.284893,1105
48,31,2,411,3G,1,6940.559733,7107.238720,1147
49,31,2,516,3G,0,6471.845574,6920.284893,1105
49,31,2,411,3G,1,6940.559733,7107.238720,1147
50,31,2,516,3G,0,6471.845574,6920.284893,1105
50,31,2,411,3G,1,6940.559733,7107.238720,1147
51,31,2,516,3G,0,6471.845574,6920.284893,1105
51,31,2,411,3G,1,6940.559733,7107.238720,1147
52,31,2,516,3G,0,6471.845574,6920.284893,1105
52,31,2,411,3G,1,6940.559733,7107.238720,1147
53,31,2,516,3G,0,6471.845574,6920.284893,1105
53,31,2,411,3G,1,6940.559733,7107.238720,1147
54,31,2,516,3G,0,6471.845574,6920.284893,1105
54,31,2,411,3G,1,6940.559733,7107.238720,1147
55,31,2,516,3G,0,6471.845574,6920.284893,1105
55,31,2,411,3G,1,6940.559733,7107.238720,1147
56,31,2,516,3G,0,6471.845574,6920.284893,1105
56,31,2,411,3G,1,6940.559733,7107.238720,1147
57,31,2,516,3G,0,6471.845574,6920.284893,1105
57,31,2,411,3G,1,6940.559733,7107.238720,1147
