t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
1219,66,0,601,3G,0,4850.000000,3601.770849,579
1219,66,0,600,3G,0,4850.000000,3601.770849,579
1220,66,2,601,3G,0,4850.000000,3751.770849,619
1220,66,2,600,3G,0,4850.000000,3751.770849,619
1221,66,2,601,3G,0,4850.000000,3901.770849,619
1221,66,2,600,3G,0,4850.000000,3901.770849,619
1222,66,2,601,3G,0,4798.229151,4000.000000,619
1222,66,2,600,3G,0,4798.229151,4000.000000,619
1223,66,2,601,3G,0,4750.000000,4101.770849,658
1223,66,2,600,3G,0,4750.000000,4101.770849,658
1224,66,2,601,3G,0,4750.000000,4251.770849,698
1224,66,2,600,3G,0,4750.000000,4251.770849,698
1225,66,2,601,3G,0,4700.000000,4351.770849,698
1225,66,2,600,3G,0,4700.000000,4351.770849,698
1226,66,1,601,3G,1,4650.000000,4451.770849,698
1226,66,1,600,3G,1,4650.000000,4451.770849,698
1232,66,0,88,3G,1,4450.000000,3950.000000,617
1233,66,1,88,3G,1,4450.000000,3850.000000,617
1239,66,0,250,3G,1,4750.000000,4634.493408,738
1240,66,2,250,3G,1,4750.000000,4534.493408,738
1241,66,2,250,3G,1,4750.000000,4434.493408,698
1242,66,2,250,3G,0,4750.000000,4334.493408,698
1243,66,2,250,3G,0,4800.000000,4284.493408,699
1244,66,2,250,3G,0,4800.000000,4184.493408,659
1245,66,2,250,3G,0,4815.506592,4100.000000,659
1246,66,2,250,3G,0,4850.000000,4034.493408,659
1247,66,2,250,3G,0,4850.000000,3934.493408,619
1248,66,2,250,3G,0,4850.000000,3834.493408,619
1249,66,2,250,3G,0,4850.000000,3734.493408,579
1250,66,2,250,3G,0,4865.506592,3650.000000,579
1251,66,2,250,3G,0,4900.000000,3584.493408,579
1252,66,1,250,3G,0,4900.000000,3484.493408,539
1525,66,0,618,3G,1,4750.000000,4650.000000,738
1526,66,1,618,3G,1,4750.000000,4700.000000,738
1951,66,0,618,3G,1,4650.000000,4350.000000,698
1952,66,2,618,3G,1,4650.000000,4400.000000,698
1953,66,2,618,3G,1,4700.000000,4400.000000,698
1954,66,2,618,3G,1,4700.000000,4450.000000,698
1955,66,1,618,3G,1,4650.000000,4450.000000,698
1956,66,0,618,3G,1,4650.000000,4400.000000,698
1957,66,2,618,3G,1,4700.000000,4400.000000,698
1958,66,2,618,3G,1,4700.000000,4450.000000,698
1959,66,2,618,3G,1,4700.000000,4500.000000,698
1960,66,2,618,3G,1,4750.000000,4500.000000,698
1961,66,2,618,3G,1,4750.000000,4550.000000,738
1962,66,2,618,3G,1,4750.000000,4600.000000,738
1963,66,1,618,3G,1,4700.000000,4600.000000,738
1964,66,0,618,3G,1,4750.000000,4600.000000,738
1965,66,1,618,3G,1,4700.000000,4600.000000,738
1966,66,0,618,3G,1,4750.000000,4600.000000,738
1966,66,0,280,3G,1,4450.000000,4000.000000,617
1967,66,2,618,3G,1,4750.000000,4650.000000,738
1967,66,2,280,3G,0,4600.000000,4000.000000,618
1968,66,2,618,3G,1,4800.000000,4650.000000,739
1968,66,2,280,3G,0,4750.000000,4000.000000,618
