t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
229,29,0,618,3G,1,5350.000000,5500.000000,861
230,29,1,618,3G,1,5400.000000,5500.000000,861
231,29,0,618,3G,1,5400.000000,5550.000000,901
232,29,1,618,3G,1,5450.000000,5550.000000,901
233,29,0,618,3G,1,5450.000000,5600.000000,901
234,29,2,618,3G,1,5400.000000,5600.000000,901
235,29,2,618,3G,0,5400.000000,5650.000000,901
236,29,2,618,3G,1,5450.000000,5650.000000,901
237,29,2,618,3G,1,5500.000000,5650.000000,901
238,29,1,618,3G,1,5500.000000,5600.000000,901
241,29,0,618,3G,1,5500.000000,5650.000000,901
242,29,1,618,3G,1,5500.000000,5600.000000,901
245,29,0,618,3G,1,5450.000000,5600.000000,901
246,29,1,618,3G,1,5500.000000,5600.000000,901
257,29,0,618,3G,1,5350.000000,5500.000000,861
258,29,1,618,3G,1,5350.000000,5450.000000,861
261,29,0,618,3G,1,5350.000000,5500.000000,861
262,29,2,618,3G,1,5350.000000,5550.000000,901
263,29,2,618,3G,0,5350.000000,5600.000000,901
264,29,2,618,3G,1,5400.000000,5600.000000,901
265,29,2,618,3G,1,5400.000000,5550.000000,901
266,29,1,618,3G,1,5400.000000,5500.000000,861
267,29,0,618,3G,1,5350.000000,5500.000000,861
268,29,2,618,3G,1,5350.000000,5550.000000,901
269,29,2,618,3G,1,5350.000000,5500.000000,861
270,29,1,618,3G,1,5350.000000,5450.000000,861
1220,29,0,250,3G,1,4365.506592,6150.000000,977
1221,29,2,250,3G,1,4400.000000,6084.493408,977
1222,29,2,250,3G,1,4415.506592,6000.000000,937
1223,29,2,250,3G,0,4450.000000,5934.493408,937
1224,29,2,250,3G,1,4465.506592,5850.000000,937
1225,29,2,250,3G,0,4500.000000,5784.493408,937
1226,29,1,250,3G,1,4500.000000,5684.493408,897
1227,29,0,508,3G,1,5150.000000,6557.782472,1060
1228,29,2,508,3G,1,5092.217528,6600.000000,1060
1229,29,2,508,3G,1,5050.000000,6657.782472,1060
1230,29,2,508,3G,1,4992.217528,6700.000000,1059
1230,29,0,348,3G,1,5527.966190,6300.000000,1022
1231,29,2,508,3G,1,4892.217528,6700.000000,1059
1231,29,2,348,3G,0,5427.966190,6300.000000,1021
1232,29,2,508,3G,1,4792.217528,6700.000000,1059
1232,29,2,348,3G,0,5350.000000,6322.033810,1021
1233,29,2,508,3G,1,4692.217528,6700.000000,1058
1233,29,2,348,3G,0,5327.966190,6400.000000,1021
1234,29,2,508,3G,1,4642.217528,6750.000000,1058
1234,29,2,348,3G,0,5277.966190,6450.000000,1021
1235,29,1,508,3G,1,4542.217528,6750.000000,1058
1235,29,2,348,3G,0,5227.966190,6500.000000,1020
1236,29,2,348,3G,0,5127.966190,6500.000000,1020
1237,29,0,601,3G,1,4400.000000,5851.770849,937
1237,29,0,600,3G,1,4400.000000,5851.770849,937
1237,29,2,348,3G,0,5027.966190,6500.000000,1020
1238,29,2,601,3G,1,4300.000000,5901.770849,937
1238,29,2,600,3G,1,4300.000000,5901.770849,937
1238,29,2,348,3G,0,4927.966190,6500.000000,1019
1239,29,1,601,3G,1,4250.000000,6001.770849,976
1239,29,1,600,3G,1,4250.000000,6001.770849,976
1239,29,2,348,3G,0,4850.000000,6522.033810,1059
1240,29,2,348,3G,1,4777.966190,6550.000000,1059
1241,29,2,348,3G,1,4677.966190,6550.000000,1058
1242,29,2,348,3G,1,4577.966190,6550.000000,1058
1243,29,1,348,3G,1,4477.966190,6550.000000,1057
2004,29,0,542,3G,1,5450.000000,5600.000000,901
2004,29,0,541,3G,1,5450.000000,5600.000000,901
2005,29,2,542,3G,0,5450.000000,5750.000000,901
2005,29,2,541,3G,0,5450.000000,5750.000000,901
2006,29,2,542,3G,0,5450.000000,5900.000000,941
2006,29,2,541,3G,0,5450.000000,5900.000000,941
2007,29,2,542,3G,0,5450.000000,6050.000000,981
2007,29,2,541,3G,0,5450.000000,6050.000000,981
2008,29,2,542,3G,0,5450.000000,6200.000000,981
2008,29,2,541,3G,0,5450.000000,6200.000000,981
2009,29,2,542,3G,1,5500.000000,6300.000000,1021
2009,29,2,541,3G,1,5500.000000,6300.000000,1021
2010,29,1,542,3G,1,5550.000000,6400.000000,1022
2010,29,1,541,3G,1,5550.000000,6400.000000,1022
2035,29,0,505,3G,1,4614.927937,6700.000000,1058
2036,29,2,505,3G,1,4714.927937,6700.000000,1058
2037,29,2,505,3G,1,4814.927937,6700.000000,1059
2038,29,2,505,3G,1,4914.927937,6700.000000,1059
2039,29,1,505,3G,1,4950.000000,6764.927937,1099
2041,29,0,505,3G,1,5000.000000,6685.072063,1059
2042,29,2,505,3G,1,5064.927937,6650.000000,1060
2043,29,1,505,3G,1,5164.927937,6650.000000,1060
2047,29,0,574,3G,1,4463.295070,6350.000000,1017
2048,29,2,574,3G,1,4500.000000,6413.295070,1017
2049,29,2,574,3G,1,4500.000000,6386.704930,1017
2050,29,2,574,3G,1,4563.295070,6350.000000,1018
2051,29,2,574,3G,0,4663.295070,6350.000000,1018
2052,29,2,574,3G,0,4763.295070,6350.000000,1019
2053,29,2,574,3G,0,4863.295070,6350.000000,1019
2054,29,2,574,3G,0,4950.000000,6363.295070,1019
2055,29,2,574,3G,0,5000.000000,6413.295070,1019
2056,29,2,574,3G,0,5000.000000,6386.704930,1019
2057,29,2,574,3G,0,5013.295070,6400.000000,1020
2058,29,2,574,3G,0,5050.000000,6336.704930,1020
2059,29,2,574,3G,0,5113.295070,6300.000000,1020
2060,29,2,574,3G,0,5213.295070,6300.000000,1020
2061,29,2,574,3G,0,5263.295070,6350.000000,1021
2062,29,2,574,3G,0,5363.295070,6350.000000,1021
2063,29,2,574,3G,1,5463.295070,6350.000000,1021
2064,29,1,574,3G,1,5513.295070,6400.000000,1022
2260,29,0,490,3G,0,5100.000000,5600.000000,900
