t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,2,0,352,3G,1,8029.146668,8832.748830,1432
0,2,0,481,3G,1,8113.723673,8797.410647,1432
1,2,2,481,3G,1,8113.723673,8797.410647,1432
1,2,2,352,3G,1,8050.000000,8850.000000,1432
2,2,2,481,3G,1,8113.723673,8797.410647,1432
2,2,2,352,3G,1,8050.000000,8825.270591,1432
3,2,2,481,3G,1,8113.723673,8797.410647,1432
3,2,2,352,3G,1,8050.000000,8800.000000,1432
4,2,2,481,3G,1,8113.723673,8797.410647,1432
4,2,2,352,3G,1,8074.729409,8800.000000,1432
5,2,2,481,3G,1,8113.723673,8797.410647,1432
5,2,2,352,3G,1,8100.000000,8800.000000,1432
6,2,2,481,3G,1,8113.723673,8797.410647,1432
6,2,2,352,3G,1,8075.270591,8800.000000,1432
7,2,2,481,3G,1,8113.723673,8797.410647,1432
7,2,2,352,3G,1,8050.000000,8800.000000,1432
8,2,2,481,3G,1,8113.723673,8797.410647,1432
8,2,2,352,3G,1,8050.000000,8824.729409,1432
9,2,2,481,3G,1,8113.723673,8797.410647,1432
9,2,2,352,3G,1,8050.000000,8850.000000,1432
10,2,2,481,3G,1,8113.723673,8797.410647,1432
10,2,2,352,3G,1,8050.000000,8825.270591,1432
11,2,2,481,3G,1,8113.723673,8797.410647,1432
11,2,2,352,3G,1,8050.000000,8800.000000,1432
12,2,2,481,3G,1,8113.723673,8797.410647,1432
12,2,2,352,3G,1,8050.000000,8824.729409,1432
13,2,2,481,3G,1,8113.723673,8797.410647,1432
13,2,2,352,3G,1,8050.000000,8850.000000,1432
14,2,2,481,3G,1,8113.723673,8797.410647,1432
14,2,2,352,3G,1,8025.270591,8850.000000,1432
15,2,2,481,3G,1,8113.723673,8797.410647,1432
15,2,2,352,3G,1,8000.000000,8850.000000,1431
16,2,2,481,3G,1,8113.723673,8797.410647,1432
16,2,2,352,3G,1,8000.000000,8874.729409,1431
17,2,2,481,3G,1,8113.723673,8797.410647,1432
17,2,2,352,3G,1,8000.000000,8900.000000,1431
18,2,2,481,3G,1,8113.723673,8797.410647,1432
18,2,2,352,3G,1,8000.000000,8875.270591,1431
19,2,2,481,3G,1,8113.723673,8797.410647,1432
19,2,2,352,3G,1,8000.000000,8850.000000,1431
20,2,2,481,3G,1,8113.723673,8797.410647,1432
