t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,34,0,320,3G,0,8915.405679,8100.208064,1315
0,34,0,337,3G,0,9742.655940,8080.630243,1318
0,34,0,385,3G,0,8941.423650,8499.829676,1355
0,34,0,422,3G,1,8677.985756,8251.382958,1354
0,34,0,490,3G,0,8877.718283,7942.654093,1275
1,34,2,490,3G,0,8877.718283,7942.654093,1275
1,34,2,422,3G,1,8677.985756,8251.382958,1354
1,34,2,385,3G,0,8941.423650,8499.829676,1355
1,34,2,337,3G,0,9750.000000,8100.000000,1318
1,34,2,320,3G,0,8915.405679,8100.208064,1315
2,34,2,490,3G,0,8877.718283,7942.654093,1275
2,34,2,422,3G,1,8677.985756,8251.382958,1354
2,34,2,385,3G,0,8941.423650,8499.829676,1355
2,34,2,337,3G,0,9750.000000,8105.037531,1318
2,34,2,320,3G,0,8915.405679,8100.208064,1315
3,34,2,490,3G,0,8877.718283,7942.654093,1275
3,34,2,422,3G,1,8677.985756,8251.382958,1354
3,34,2,385,3G,0,8941.423650,8499.829676,1355
3,34,2,337,3G,0,9750.000000,8110.075062,1318
3,34,2,320,3G,0,8915.405679,8100.208064,1315
4,34,2,490,3G,0,8877.718283,7942.654093,1275
4,34,2,422,3G,1,8677.985756,8251.382958,1354
4,34,2,385,3G,0,8941.423650,8499.829676,1355
4,34,2,337,3G,0,9750.000000,8115.112594,1318
4,34,2,320,3G,0,8915.405679,8100.208064,1315
5,34,2,490,3G,0,8877.718283,7942.654093,1275
5,34,2,422,3G,1,8677.985756,8251.382958,1354
5,34,2,385,3G,0,8941.423650,8499.829676,1355
5,34,2,337,3G,0,9750.000000,8120.150125,1318
5,34,2,320,3G,0,8915.405679,8100.208064,1315
6,34,2,490,3G,0,8877.718283,7942.654093,1275
6,34,2,422,3G,1,8677.985756,8251.382958,1354
6,34,2,385,3G,0,8941.423650,8499.829676,1355
6,34,2,337,3G,0,9750.000000,8125.187656,1318
6,34,2,320,3G,0,8915.405679,8100.208064,1315
7,34,2,490,3G,0,8877.718283,7942.654093,1275
7,34,2,422,3G,1,8677.985756,8251.382958,1354
7,34,2,385,3G,0,8941.423650,8499.829676,1355
7,34,2,337,3G,0,9750.000000,8130.225187,1318
7,34,2,320,3G,0,8915.405679,8100.208064,1315
8,34,2,490,3G,0,8877.718283,7942.654093,1275
8,34,2,422,3G,1,8677.985756,8251.382958,1354
8,34,2,385,3G,0,8941.423650,8499.829676,1355
8,34,2,337,3G,0,9750.000000,8135.262719,1318
8,34,2,320,3G,0,8915.405679,8100.208064,1315
